time|latitude|longitude|depth|mag|magType|id
2020-06-14T21:23:20Z|49.1636|158.0203|10|5.4|mww|us6000abte
2020-06-14T21:22:17Z|17.9168|-66.9416|13|3.09|md|pr2020166020
2020-06-14T19:26:20Z|24.8657|123.3066|10|5.2|mww|us6000abry
2020-06-14T19:06:59Z|19.1258|-67.558|7|3.82|md|pr2020166019
2020-06-14T18:37:42Z|24.8151|123.2261|10|4.6|mb|us6000abrd
2020-06-14T18:15:11Z|24.8797|123.1795|10|4.8|mb|us6000abr4
2020-06-14T18:12:34Z|17.9485|-66.825|10|3.33|md|pr2020166018
2020-06-14T18:06:01Z|27.792|53.382|10.85|5.1|mww|us6000abr2
2020-06-14T17:28:38Z|24.8809|123.2744|10|4.6|mb|us6000abqq
2020-06-14T16:52:43Z|17.9561|-66.9631|6|2.79|md|pr2020166016
2020-06-14T16:46:09Z|19.1235|-67.7288|39|3.36|md|pr2020166017
2020-06-14T16:22:41Z|17.9321|-66.9358|13|2.5|md|pr2020166014
2020-06-14T16:18:42Z|17.9388|-66.7976|9|2.64|md|pr2020166015
2020-06-14T16:02:48Z|-23.5657|69.6006|10|5|mb|us6000abps
2020-06-14T15:09:18Z|39.3895|40.736|10|4.5|mb|us6000abpe
2020-06-14T14:47:34Z|-3.1193|125.9385|60.55|4.9|mb|us6000abpa
2020-06-14T14:43:08Z|23.3871|70.3817|10|5.1|mb|us6000abp7
2020-06-14T14:34:50Z|39.4417|40.7518|10|4.5|mb|us6000abp5
2020-06-14T14:24:29Z|39.4201|40.7017|10|5.9|mww|us6000abnv
2020-06-14T14:24:08Z|-19.692|-177.3599|563.12|4.6|mb|us6000abpc
2020-06-14T14:14:03Z|17.845|-66.7943|7|2.55|md|pr2020166013
2020-06-14T13:27:55Z|53.2045|-164.412|10|3.9|mb|us6000abnk
2020-06-14T13:25:23Z|2.739|128.2904|117.39|5|mww|us6000abnj
2020-06-14T13:12:11Z|56.7806|-154.9464|0|2.6|ml|ak0207mr0ubj
2020-06-14T12:46:38Z|17.9291|-66.9356|12|3.43|md|pr2020166012
2020-06-14T12:11:37Z|44.2882|-115.0591|5|4.2|mwr|us6000abmx
2020-06-14T09:55:28Z|18.0263|-66.7538|10|2.57|md|pr2020166011
2020-06-14T09:18:35Z|17.9183|-66.9425|13|2.99|md|pr2020166010
2020-06-14T08:34:28Z|62.1175|-149.8699|0|2.5|ml|ak0207mo6ft1
2020-06-14T08:34:22Z|62.7168|-149.4068|54.6|2.8|ml|ak0207mo6evp
2020-06-14T07:52:52Z|18.3071|-76.6816|10|4|mb|us6000abld
2020-06-14T06:33:37Z|17.9378|-66.9636|13|2.67|md|pr2020166007
2020-06-14T06:24:07Z|-2.9751|136.5196|43.7|4.4|mb|us6000abkn
2020-06-14T06:19:06Z|19.2357|-155.3782|41.29|2.5|ml|us6000abkv
2020-06-14T05:36:01Z|-24.0325|-66.9977|224.07|4.1|mb|us6000abke
2020-06-14T05:35:32Z|23.3074|93.8138|64.24|4.8|mb|us6000abkd
2020-06-14T05:07:05Z|19.1695|-155.4765|33.5|2.64|ml|hv71556782
2020-06-14T04:57:46Z|2.3482|128.3719|10|4.8|mb|us6000abk5
2020-06-14T04:22:20Z|17.9661|-66.9176|10|2.89|md|pr2020166005
2020-06-14T03:39:02Z|17.9466|-66.9926|9|2.45|md|pr2020166008
2020-06-14T03:35:20Z|-9.0098|124.1306|81.53|4.9|mww|us6000abjt
2020-06-14T03:16:16Z|17.9806|-66.838|15|2.95|md|pr2020166006
2020-06-14T02:54:06Z|17.9293|-66.8486|9|2.82|md|pr2020166004
2020-06-14T02:39:47Z|26.7107|97.1032|44.39|4.7|mb|us6000abjj
2020-06-14T02:03:52Z|17.927|-66.8758|10|2.56|md|pr2020166003
2020-06-14T00:42:27Z|17.9193|-66.9465|13|3.01|md|pr2020166001
2020-06-14T00:38:18Z|17.9336|-66.8811|10|2.89|md|pr2020166002
2020-06-14T00:32:23Z|17.9328|-66.7525|7|2.91|md|pr2020166000
2020-06-13T23:33:11Z|17.9231|-66.5795|5|2.97|md|pr2020165025
2020-06-13T23:15:05Z|27.7364|53.2971|10|4.8|mb|us6000abii
2020-06-13T22:31:18Z|17.9361|-66.9443|12|3.58|md|pr2020165023
